ffmpeg version 2021-10-11-git-90a0da9f14-essentials_build-www.gyan.dev Copyright (c) 2000-2021 the FFmpeg developers
  built with gcc 10.3.0 (Rev5, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-fontconfig --enable-iconv --enable-gnutls --enable-libxml2 --enable-gmp --enable-lzma --enable-zlib --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-sdl2 --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxvid --enable-libaom --enable-libopenjpeg --enable-libvpx --enable-libass --enable-libfreetype --enable-libfribidi --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-ffnvcodec --enable-nvdec --enable-nvenc --enable-d3d11va --enable-dxva2 --enable-libmfx --enable-libgme --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libtheora --enable-libvo-amrwbenc --enable-libgsm --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-librubberband
  libavutil      57.  7.100 / 57.  7.100
  libavcodec     59. 12.100 / 59. 12.100
  libavformat    59.  6.100 / 59.  6.100
  libavdevice    59.  0.101 / 59.  0.101
  libavfilter     8. 12.100 /  8. 12.100
  libswscale      6.  1.100 /  6.  1.100
  libswresample   4.  0.100 /  4.  0.100
  libpostproc    56.  0.100 / 56.  0.100
Input #0, rawvideo, from 'pipe:':
  Duration: N/A, start: 0.000000, bitrate: 720000 kb/s
  Stream #0:0: Video: rawvideo (RGB[24] / 0x18424752), rgb24, 1000x1000, 720000 kb/s, 30 tbr, 30 tbn
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
[swscaler @ 000001f362576ac0] [swscaler @ 000001f362587480] Warning: data is not aligned! This can lead to a speed loss
[libx264 @ 000001f362530ec0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 000001f362530ec0] profile High, level 3.2, 4:2:0, 8-bit
[libx264 @ 000001f362530ec0] 264 - core 164 r3075 66a5bc1 - H.264/MPEG-4 AVC codec - Copyleft 2003-2021 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to 'C:\Users\willi\OneDrive\Desktop\Processing\Projects\Voroboids\Exports/RiseAndRebirth.mp4':
  Metadata:
    comment         : Made with Video Export for Processing - https://git.io/vAXLk
    encoder         : Lavf59.6.100
  Stream #0:0: Video: h264 (avc1 / 0x31637661), yuv420p(tv, progressive), 1000x1000, q=2-31, 30 fps, 15360 tbn
    Metadata:
      encoder         : Lavc59.12.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: N/A
frame=    1 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   14 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   27 fps= 26 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   38 fps= 24 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   50 fps= 24 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   61 fps= 23 q=30.0 size=       0kB time=00:00:00.26 bitrate=   1.4kbits/s speed=0.103x    
frame=   72 fps= 23 q=30.0 size=       0kB time=00:00:00.63 bitrate=   0.6kbits/s speed=0.204x    
frame=   84 fps= 23 q=30.0 size=       0kB time=00:00:01.03 bitrate=   0.4kbits/s speed=0.284x    
frame=   95 fps= 23 q=30.0 size=       0kB time=00:00:01.40 bitrate=   0.3kbits/s speed=0.334x    
frame=  107 fps= 23 q=30.0 size=       0kB time=00:00:01.80 bitrate=   0.2kbits/s speed=0.379x    
frame=  118 fps= 22 q=30.0 size=       0kB time=00:00:02.16 bitrate=   0.2kbits/s speed=0.41x    
frame=  128 fps= 22 q=30.0 size=       0kB time=00:00:02.50 bitrate=   0.2kbits/s speed=0.43x    
frame=  139 fps= 22 q=30.0 size=       0kB time=00:00:02.86 bitrate=   0.1kbits/s speed=0.451x    
frame=  149 fps= 22 q=30.0 size=       0kB time=00:00:03.20 bitrate=   0.1kbits/s speed=0.466x    
frame=  159 fps= 21 q=30.0 size=       0kB time=00:00:03.53 bitrate=   0.1kbits/s speed=0.475x    
frame=  169 fps= 21 q=30.0 size=       0kB time=00:00:03.86 bitrate=   0.1kbits/s speed=0.487x    
frame=  178 fps= 21 q=30.0 size=       0kB time=00:00:04.16 bitrate=   0.1kbits/s speed=0.493x    
frame=  188 fps= 21 q=30.0 size=       0kB time=00:00:04.50 bitrate=   0.1kbits/s speed=0.501x    
frame=  197 fps= 21 q=30.0 size=       0kB time=00:00:04.80 bitrate=   0.1kbits/s speed=0.502x    
frame=  206 fps= 20 q=30.0 size=       0kB time=00:00:05.10 bitrate=   0.1kbits/s speed=0.507x    
frame=  215 fps= 20 q=30.0 size=       0kB time=00:00:05.40 bitrate=   0.1kbits/s speed=0.511x    
frame=  224 fps= 20 q=30.0 size=     256kB time=00:00:05.70 bitrate= 368.0kbits/s speed=0.512x    
frame=  232 fps= 20 q=30.0 size=     256kB time=00:00:05.96 bitrate= 351.5kbits/s speed=0.512x    
frame=  240 fps= 20 q=30.0 size=     256kB time=00:00:06.23 bitrate= 336.5kbits/s speed=0.511x    
frame=  249 fps= 20 q=30.0 size=     256kB time=00:00:06.53 bitrate= 321.0kbits/s speed=0.512x    
frame=  257 fps= 19 q=30.0 size=     256kB time=00:00:06.80 bitrate= 308.5kbits/s speed=0.512x    
frame=  266 fps= 19 q=30.0 size=     256kB time=00:00:07.10 bitrate= 295.4kbits/s speed=0.513x    
frame=  274 fps= 19 q=30.0 size=     256kB time=00:00:07.36 bitrate= 284.7kbits/s speed=0.511x    
frame=  282 fps= 19 q=30.0 size=     256kB time=00:00:07.63 bitrate= 274.8kbits/s speed=0.512x    
frame=  290 fps= 19 q=30.0 size=     256kB time=00:00:07.90 bitrate= 265.5kbits/s speed=0.51x    
frame=  297 fps= 19 q=30.0 size=     256kB time=00:00:08.13 bitrate= 257.9kbits/s speed=0.508x    
frame=  305 fps= 18 q=30.0 size=     256kB time=00:00:08.40 bitrate= 249.7kbits/s speed=0.508x    
frame=  312 fps= 18 q=30.0 size=     512kB time=00:00:08.63 bitrate= 485.9kbits/s speed=0.506x    
frame=  320 fps= 18 q=30.0 size=     512kB time=00:00:08.90 bitrate= 471.3kbits/s speed=0.505x    
frame=  327 fps= 18 q=30.0 size=     512kB time=00:00:09.13 bitrate= 459.3kbits/s speed=0.504x    
frame=  335 fps= 18 q=30.0 size=     512kB time=00:00:09.40 bitrate= 446.2kbits/s speed=0.503x    
frame=  342 fps= 18 q=30.0 size=     512kB time=00:00:09.63 bitrate= 435.4kbits/s speed=0.501x    
frame=  349 fps= 18 q=30.0 size=     512kB time=00:00:09.86 bitrate= 425.1kbits/s speed= 0.5x    
frame=  356 fps= 18 q=30.0 size=     512kB time=00:00:10.10 bitrate= 415.3kbits/s speed=0.498x    
frame=  363 fps= 17 q=30.0 size=     512kB time=00:00:10.33 bitrate= 405.9kbits/s speed=0.497x    
frame=  370 fps= 17 q=30.0 size=     512kB time=00:00:10.56 bitrate= 397.0kbits/s speed=0.496x    
frame=  377 fps= 17 q=30.0 size=     512kB time=00:00:10.80 bitrate= 388.4kbits/s speed=0.494x    
frame=  384 fps= 17 q=30.0 size=     768kB time=00:00:11.03 bitrate= 570.3kbits/s speed=0.492x    
frame=  390 fps= 17 q=30.0 size=     768kB time=00:00:11.23 bitrate= 560.1kbits/s speed=0.49x    
frame=  397 fps= 17 q=30.0 size=     768kB time=00:00:11.46 bitrate= 548.7kbits/s speed=0.488x    
frame=  404 fps= 17 q=30.0 size=     768kB time=00:00:11.70 bitrate= 537.8kbits/s speed=0.486x    
frame=  411 fps= 17 q=30.0 size=     768kB time=00:00:11.93 bitrate= 527.2kbits/s speed=0.484x    
frame=  417 fps= 17 q=30.0 size=     768kB time=00:00:12.13 bitrate= 518.6kbits/s speed=0.482x    
frame=  423 fps= 16 q=30.0 size=     768kB time=00:00:12.33 bitrate= 510.1kbits/s speed=0.481x    
frame=  429 fps= 16 q=30.0 size=     768kB time=00:00:12.53 bitrate= 502.0kbits/s speed=0.478x    
frame=  436 fps= 16 q=30.0 size=     768kB time=00:00:12.76 bitrate= 492.8kbits/s speed=0.477x    
frame=  442 fps= 16 q=30.0 size=     768kB time=00:00:12.96 bitrate= 485.2kbits/s speed=0.475x    
frame=  448 fps= 16 q=30.0 size=     768kB time=00:00:13.16 bitrate= 477.9kbits/s speed=0.473x    
frame=  454 fps= 16 q=30.0 size=    1024kB time=00:00:13.36 bitrate= 627.6kbits/s speed=0.471x    
frame=  460 fps= 16 q=30.0 size=    1024kB time=00:00:13.56 bitrate= 618.4kbits/s speed=0.469x    
frame=  466 fps= 16 q=30.0 size=    1024kB time=00:00:13.76 bitrate= 609.4kbits/s speed=0.467x    
frame=  471 fps= 16 q=30.0 size=    1024kB time=00:00:13.93 bitrate= 602.1kbits/s speed=0.465x    
frame=  477 fps= 16 q=30.0 size=    1024kB time=00:00:14.13 bitrate= 593.6kbits/s speed=0.463x    
frame=  483 fps= 16 q=30.0 size=    1024kB time=00:00:14.33 bitrate= 585.3kbits/s speed=0.461x    
frame=  489 fps= 15 q=30.0 size=    1024kB time=00:00:14.53 bitrate= 577.2kbits/s speed=0.459x    
frame=  495 fps= 15 q=30.0 size=    1024kB time=00:00:14.73 bitrate= 569.4kbits/s speed=0.457x    
frame=  501 fps= 15 q=30.0 size=    1024kB time=00:00:14.93 bitrate= 561.8kbits/s speed=0.455x    
frame=  507 fps= 15 q=30.0 size=    1280kB time=00:00:15.13 bitrate= 692.9kbits/s speed=0.453x    
frame=  513 fps= 15 q=30.0 size=    1280kB time=00:00:15.33 bitrate= 683.9kbits/s speed=0.451x    
frame=  518 fps= 15 q=30.0 size=    1280kB time=00:00:15.50 bitrate= 676.5kbits/s speed=0.449x    
frame=  524 fps= 15 q=30.0 size=    1280kB time=00:00:15.70 bitrate= 667.9kbits/s speed=0.447x    
frame=  529 fps= 15 q=30.0 size=    1280kB time=00:00:15.86 bitrate= 660.9kbits/s speed=0.445x    
frame=  534 fps= 15 q=30.0 size=    1280kB time=00:00:16.03 bitrate= 654.0kbits/s speed=0.443x    
frame=  539 fps= 15 q=30.0 size=    1280kB time=00:00:16.20 bitrate= 647.3kbits/s speed=0.442x    
frame=  544 fps= 15 q=30.0 size=    1280kB time=00:00:16.36 bitrate= 640.7kbits/s speed=0.44x    
frame=  549 fps= 15 q=30.0 size=    1280kB time=00:00:16.53 bitrate= 634.2kbits/s speed=0.438x    
frame=  554 fps= 14 q=30.0 size=    1280kB time=00:00:16.70 bitrate= 627.9kbits/s speed=0.436x    
frame=  559 fps= 14 q=30.0 size=    1536kB time=00:00:16.86 bitrate= 746.0kbits/s speed=0.435x    
frame=  564 fps= 14 q=30.0 size=    1536kB time=00:00:17.03 bitrate= 738.7kbits/s speed=0.433x    
frame=  569 fps= 14 q=30.0 size=    1536kB time=00:00:17.20 bitrate= 731.6kbits/s speed=0.431x    
frame=  574 fps= 14 q=30.0 size=    1536kB time=00:00:17.36 bitrate= 724.6kbits/s speed=0.429x    
frame=  579 fps= 14 q=30.0 size=    1536kB time=00:00:17.53 bitrate= 717.7kbits/s speed=0.427x    
frame=  584 fps= 14 q=30.0 size=    1536kB time=00:00:17.70 bitrate= 710.9kbits/s speed=0.425x    
frame=  589 fps= 14 q=30.0 size=    1536kB time=00:00:17.86 bitrate= 704.3kbits/s speed=0.424x    
frame=  594 fps= 14 q=30.0 size=    1536kB time=00:00:18.03 bitrate= 697.8kbits/s speed=0.422x    
frame=  599 fps= 14 q=30.0 size=    1536kB time=00:00:18.20 bitrate= 691.4kbits/s speed=0.42x    
frame=  604 fps= 14 q=30.0 size=    1536kB time=00:00:18.36 bitrate= 685.1kbits/s speed=0.418x    
frame=  609 fps= 14 q=30.0 size=    1792kB time=00:00:18.53 bitrate= 792.1kbits/s speed=0.416x    
frame=  614 fps= 14 q=30.0 size=    1792kB time=00:00:18.70 bitrate= 785.0kbits/s speed=0.414x    
frame=  619 fps= 14 q=30.0 size=    1792kB time=00:00:18.86 bitrate= 778.1kbits/s speed=0.413x    
frame=  624 fps= 13 q=30.0 size=    1792kB time=00:00:19.03 bitrate= 771.3kbits/s speed=0.411x    
frame=  629 fps= 13 q=30.0 size=    1792kB time=00:00:19.20 bitrate= 764.6kbits/s speed=0.409x    
frame=  634 fps= 13 q=30.0 size=    1792kB time=00:00:19.36 bitrate= 758.0kbits/s speed=0.407x    
frame=  638 fps= 13 q=30.0 size=    1792kB time=00:00:19.50 bitrate= 752.8kbits/s speed=0.406x    
frame=  643 fps= 13 q=30.0 size=    1792kB time=00:00:19.66 bitrate= 746.5kbits/s speed=0.404x    
frame=  647 fps= 13 q=30.0 size=    1792kB time=00:00:19.80 bitrate= 741.4kbits/s speed=0.402x    
